artist_name,artist_id
David Rawlings,888
David Rees,889
Dawa Sherpa,890
Dawes,891
Dawn Avenue,892
Dawn Geller,893
Dayvi,894
De Hofnar,895
De La Ghetto,896
De Norte A Sur,897
DeLyzer,898
DeVotchKa,899
Dead Horses,900
Dead Kennedys,901
Dead Man Fall,902
Dean M Parker,903
Dean Martin,904
Death Cab for Cutie,905
Death Team,906
Declan McKenna,907
Dee Clark,908
Deep Chills,909
Deep Divers,910
Deep Purple,911
Def Leppard,912
Delta Spirit,913
Deluxe,914
Demi Lovato,915
Denis Gäbel,916
Dennis Lloyd,917
Dennis Riley-Jones,918
Deorro,919
Depedro,920
Derek & The Dominos,921
Derek Shearer,922
Derik Fein,923
Dermot Kennedy,924
Des Rocs,925
Destroyer,926
Devendra Banhart,927
Dexter Gordon,928
Dexys Midnight Runners,929
Diamante Eléctrico,930
Diana Krall,931
Dick Diver,932
Dick Hyman,933
Dickey Betts,934
Diddy,935
Die Atzen,936
Diego Torres,937
Diego de Frigiliana,938
Dieter Huber,939
Digitalism,940
Diles que no me maten,941
Dillon Francis,942
Dimash B,943
Dimitri Vegas & Like Mike,944
Dimmi,945
Dinah Washington,946
Dio,947
Dionisio Aguado,948
Dire Straits,949
Dirty Mac,950
Dirty Pretty Things,951
Dirty South,952
Disclosure,953
Discovery,954
Disturbed,955
División Minúscula,956
Dj Kass,957
Django Reinhardt,958
Dmitri Shostakovich,959
Dmitry Kabalevsky,960
Doc Robinson,961
Doja Cat,962
Dolly Parton,963
Domenico Modugno,964
Domenico Monleone,965
Dominic Cooper,966
Dominic Fike,967
Dominik Scherrer,968
Don Diablo,969
Don McLean,970
Don Omar,971
Donald Glover & Danny Pudi,972
Donatella Monza,973
Donavon Frankenreiter,974
Donovan,975
Donovan Woods,976
Dooley Wilson,977
Dopla,978
Doris Day,979
Doug Kaufman,980
Down Like Silver,981
Dr. Dog,982
Dr. Dre,983
Dr. John,984
Drake,985
Dread Mar I,986
Dreezy,987
Dresses,988
Drew Holcomb & The Neighbors,989
Drive-By Truckers,990
Dromedarios Mágicos,991
Drugdealer,992
Drunk Mums,993
Dstance,994
Dua Lipa,995
Dubdogz,996
Dueto Las Palomas,997
Duke Dumont,998
Duke Ellington,999
Duki,1000
Dumb Punts,1001
Duncan Dhu,1002
Duo Acoustica,1003
Durand Jones & The Indications,1004
Dusty Springfield,1005
Dvicio,1006
Dylan Gardner,1007
Dylan LeBlanc,1008
Dylan McFerrin,1009
Dylan Reynolds,1010
Dynamyte,1011
ELEW,1012
ELIO,1013
EMELINE,1014
ERNEST,1015
Eagles,1016
Eagles Of Death Metal,1017
Earl Sweatshirt,1018
"Earth, Wind & Fire",1019
Echo In The Canyon,1020
Echoes of Swing,1021
Ed Maverick,1022
Ed Sheeran,1023
Eddie & Ernie,1024
Eddie Berman,1025
Eddie Chacon,1026
Eddie Money,1027
Eddie Santiago,1028
Eddie Vedder,1029
Eddie Vedder and Natalie Maines,1030
Eddy Current Suppression Ring,1031
Ede,1032
Eden Muñoz,1033
Edgar Oceransky,1034
Edie Brickell & New Bohemians,1035
Editors,1036
Eduardo di Capua,1037
Edvard Grieg,1038
Edward Elgar,1039
Edward Sharpe & The Magnetic Zeros,1040
Eels,1041
Egwa,1042
Ehrling,1043
Ekkah,1044
El Bebeto,1045
El Chachito,1046
El Chicano,1047
El Coyote Y Su Banda Tierra Santa,1048
El Cuarteto De Nos,1049
El Jose,1050
El Kanka,1051
El Komander,1052
El Mató a un Policía Motorizado,1053
El Michels Affair,1054
El Rey De La Taquilla,1055
El Tambor De La Tribu,1056
El Zar,1057
El Último De La Fila,1058
Eladio Carrion,1059
Electric Guest,1060
Electric Light Orchestra,1061
Electric Wurms,1062
Elenco original de Madrid,1063
Elf Power,1064
Eli Starr Trio,1065
Eliades Ochoa,1066
Elias,1067
Elijah Stone,1068
Elisa Rodrigues,1069
Eliseo Robles,1070
Elke Meyer,1071
Ella Fitzgerald,1072
Ella Mai,1073
Elle Cordova,1074
Elle King,1075
Elle Vorink,1076
Ellie Goulding,1077
Elliott Smith,1078
Elmer Soulé,1079
Elmore James,1080
Elport,1081
Elsa y Elmar,1082
Elson Complex,1083
Elton John,1084
Elvis Costello,1085
Elvis Costello & The Attractions,1086
Elvis Presley,1087
Emanuel Nord,1088
Emeli Sandé,1089
"Emerson, Lake & Palmer",1090
Emil Brandqvist,1091
Emil Dahl,1092
Emily Krueger,1093
Emily Scott Robinson,1094
Emilíana Torrini,1095
Eminem,1096
Emitt Rhodes,1097
Emma Stone,1098
Emmanuel,1099
Emmy Rossum,1100
Empire Of The Sun,1101
Endor,1102
Enj Society,1103
Enjambre,1104
Ennio Morricone,1105
Enrique Granados,1106
Enrique Iglesias,1107
Enrique Santos Discépolo,1108
Enrique Ugarte,1109
Enrique Urquijo y Los problemas,1110
Enya,1111
Enzo,1112
Enzo La Mattina,1113
Erasure,1114
Eric Burdon,1115
Eric Carmen,1116
Eric Clapton,1117
Eric Dolphy,1118
Eric Johnson,1119
Eric Lindell,1120
Eric Olsen,1121
Eric Prydz,1122
Erich Kunzel,1123
Erich Wolfgang Korngold,1124
Erik Satie,1125
Erik Truffaz,1126
Ernesto Elorduy,1127
Ernesto Lecuona,1128
Ernesto de Curtis,1129
Eros Ramazzotti,1130
Esbjörn Svensson Trio,1131
Escondido,1132
Eslabon Armado,1133
Esmeralda Torres,1134
Esteman,1135
Ethan Acosta,1136
Ethan Burns,1137
Ethan Hawke,1138
Etta James,1139
Europe,1140
Evergreen Dream,1141
Everybody Loves an Outlaw,1142
Everything But The Girl,1143
Explosions In The Sky,1144
Eydie Gormé,1145
Ezra Furman,1146
F. Pastrana,1147
F.ACE,1148
FINNEAS,1149
FISHER,1150
FM Static,1151
FRENSHIP,1152
Fabian Lombardi,1153
Fabich,1154
Fabrizio De André,1155
Faces,1156
Facundo Cabral,1157
Fairport Convention,1158
Fake Blood,1159
Fall Out Boy,1160
Falqo,1161
Family,1162
Family of the Year,1163
Fanny Lu,1164
Farruko,1165
Fast Romantics,1166
Fatboy Slim,1167
Father John Misty,1168
Fato,1169
Fats Domino,1170
Faul,1171
Faul & Wad,1172
Federico Villa,1173
Fei Kura,1174
Feid,1175
Feist,1176
Felipe Peláez,1177
Felix Jaehn,1178
Felix Trapp,1179
Fennec,1180
Fernando Delgadillo,1181
Fernando Sor,1182
Ferras,1183
Ferraz,1184
Ferreck Dawn,1185
Feten Feten,1186
Fetty Wap,1187
Fifth Harmony,1188
Finlep,1189
Fiona Apple,1190
Fitasha,1191
Fito Paez,1192
Fito y Fitipaldis,1193
Flamin' Groovies,1194
Flans,1195
Flap Jack,1196
Fleet Foxes,1197
Fleetwood Mac,1198
Fleur Onora,1199
Flo & Eddie,1200
Flo Morrissey,1201
Flo Rida,1202
Flogging Molly,1203
Florence + The Machine,1204
Florida Georgia Line,1205
Floridablanca,1206
Floritatura,1207
Flughand,1208
Flume,1209
Flyte,1210
Foals,1211
Focus,1212
Foghat,1213
Fonola Band,1214
Fonseca,1215
Fontaines D.C.,1216
Foo Fighters,1217
Fools Garden,1218
Foreigner,1219
Forever The Sickest Kids,1220
Foster The People,1221
Fountains Of Wayne,1222
Foxboro Hottubs,1223
Foxy,1224
Foy Vance,1225
Fran,1226
Franc Moody,1227
Francesca Marr,1228
Francesca Monte,1229
Francesco Cilea,1230
Francesco De Gregori,1231
Francesco Guccini,1232
Francesco Paolo Tosti,1233
Francis White,1234
Francis and the Lights,1235
Francisco Céspedes,1236
Francisco Tárrega,1237
Franco De Vita,1238
Francois Parisi,1239
Frank Black,1240
Frank Ocean,1241
Frank Sinatra,1242
Frank Turner,1243
Frankie Valli & The Four Seasons,1244
Franz Ferdinand,1245
Franz Lehár,1246
Franz Liszt,1247
Franz Schubert,1248
Françoise Hardy,1249
Fred again..,1250
Freda Barton,1251
Freda Payne,1252
Freddie King,1253
Freddie Mercury,1254
Freddo Lucky Bossi,1255
Freddy Fender,1256
Frederic Dupont,1257
Frederick Delius,1258
Fredrik Kronkvist,1259
Free,1260
Free Nationals,1261
Freedy Johnston,1262
Freelance Whales,1263
Freh Kodja,1264
Freischwimmer,1265
Frightened Rabbit,1266
Friska Viljor,1267
Fruit Bats,1268
Frédéric Chopin,1269
Fthmlss,1270
Fuego,1271
Fuerza Regida,1272
Funeral Suits,1273
Funkadelic,1274
Future,1275
Future Islands,1276
G-Eazy,1277
G-Unit,1278
G.R.L.,1279
GAMPER & DADONI,1280
GROUPLOVE,1281
Gabriel Fauré,1282
Gabriel Femi,1283
Gabriel Yared,1284
Gabrielle Aplin,1285
Gabríel Ólafs,1286
Gaetano Donizetti,1287
Galantis,1288
Galimatias,1289
Gama,1290
Gang of Youths,1291
Gardiner Sisters,1292
Garibaldi,1293
Gary Allan,1294
Gary Bartz,1295
Gary Clark Jr.,1296
Gary Grant,1297
Gary Louris,1298
Gary McFarland & Co.,1299
Gathering in Jazz,1300
Gaucho,1301
Gavin DeGraw,1302
Gavin James,1303
Gaz Coombes,1304
Gazebo,1305
Gazoz,1306
Gene Barge,1307
Gene Hart Trio,1308
Gene Simmons,1309
Genesis,1310
Gente De Zona,1311
Geoff Henzel,1312
Georg Gardner,1313
Georg Philipp Telemann,1314
George Alec,1315
George Baker Selection,1316
George Bruns,1317
George Darko,1318
George Ezra,1319
George Fenton,1320
George Frideric Handel,1321
George Harrison,1322
George Laffitte,1323
George Martin,1324
George darko,1325
Georges Bizet,1326
Gepe,1327
Gera MX,1328
Gerardo Matos Rodríguez,1329
Gerardo Ortiz,1330
Germán Montero,1331
"Germán Valdés ""Tin Tan""",1332
Gerry Marsden,1333
Gerry Mulligan,1334
Gerson Lizama,1335
Gesaffelstein,1336
Ghetto Kids,1337
Ghost,1338
Giacomo Puccini,1339
Gianni Schicchi,1340
Gidi Gov,1341
Gilbert O'Sullivan,1342
Gilberto Gless,1343
