track_id,track_name,image_url
65pfqAbL2wxS9g00t5XbBI,Ocean,https://i.scdn.co/image/ab67616d0000b27397a3ada2bd6ad7480f262350
6DSyqzwE92Dsa9V1iHV86W,Tu Recuerdo y Yo - Remastered,https://i.scdn.co/image/ab67616d0000b2739a686fbd9ee8ced578b74461
6hC6X2MApPPHekluVyw5K0,All To Myself (Rave Mix),https://i.scdn.co/image/ab67616d0000b273d06dfea557f4f870cf71a541
6vxHp3CDNo0afgKGp2yi1E,Me and Julio Down by the Schoolyard,https://i.scdn.co/image/ab67616d0000b27337a40ab12a4fb96319a9d96f
73GB8m4FkrwQA5Xrd3xwLB,Light a Roman Candle with Me,https://i.scdn.co/image/ab67616d0000b27357ed30d8bc5ea8e2015f53bd
78pHMOI9qUWonIMySjO3XY,Shut Up!,https://i.scdn.co/image/ab67616d0000b2736cb8cbc645eebdfc0ebffa72
794xxli9as12IJwCpuxuOR,Solo Le Pido a Dios,https://i.scdn.co/image/ab67616d0000b273f154625391286b1dc23aab39
7AjgmnGABpzwTkebDUqUfa,Belief - Stripped Version,https://i.scdn.co/image/ab67616d0000b27309ec47c2a2173e984d8461e9
7IUF0dDdzguaFUwwA9BgDu,Here,https://i.scdn.co/image/ab67616d0000b273fd9b6e3e08144cf94700e478
7nSiELfP8M89g8vz0KAmnh,La Tertulia - Remastered,https://i.scdn.co/image/ab67616d0000b2739a686fbd9ee8ced578b74461
7wB2VenWR6rchtLwawreIg,Bullet Proof ... I Wish I Was,https://i.scdn.co/image/ab67616d0000b27322ca59e5c2d806439d5f08a2
7xlW8KjKeVZAKIy5rGFRLl,Por el Viejo Barrio,https://i.scdn.co/image/ab67616d0000b27317d578892a759229763e3263
08l9WKDuRyGeStQ9ojTlFh,Meet Me in the Bathroom,https://i.scdn.co/image/ab67616d0000b2730f35726025e0f025da4c688f
0It6VJoMAare1zdV2wxqZq,Undisclosed Desires,https://i.scdn.co/image/ab67616d0000b273b6d4566db0d12894a1a3b7a2
0NdOXhnxR8FdcJndlhX9JM,Somewhere Over The Rainbow,https://i.scdn.co/image/ab67616d0000b27355cc480dc0371791ee1d0f0e
0ORrEWcI3Da6iV6pplqQWa,Losing Touch,https://i.scdn.co/image/ab67616d0000b273fd07170934e2bd74aa108d5c
0RzhMHIsFMbOGh0oWDvNNK,Waterloo,https://i.scdn.co/image/ab67616d0000b273de7c45e97d915ae2b68be530
0ZaR7koJ1Sr6pwMoqo6hh2,In The Car Outside,https://i.scdn.co/image/ab67616d0000b273821b4532e68c92632277838b
0fzCtVM9D5UEwiLqcY8Ouq,Hard Sun,https://i.scdn.co/image/ab67616d0000b2733ed52339ae78ac1b695e8d80
0kDNLHifqjERebB7GDfAtY,Because We Believe,https://i.scdn.co/image/ab67616d0000b273c0c83b3ab10b62a35eafa81b
0lizgQ7Qw35od7CYaoMBZb,Santa Tell Me,https://i.scdn.co/image/ab67616d0000b273a1db745e63940bc06985dea5
1EZfCViOJ9XKFbwX8FkZUF,Chainsmoking,https://i.scdn.co/image/ab67616d0000b27356080feb452fa7ad4ca61d8b
1FoUsSi9BCTlNt2Vd7V8XA,Optimistic,https://i.scdn.co/image/ab67616d0000b2736c7112082b63beefffe40151
1IxxOTWNmoauiKyIoq5H0U,Happy Children,https://i.scdn.co/image/ab67616d0000b273b5aaa0790028feff586033f3
1JorKPVogR5TXaJQPSc67X,Foxey Lady,https://i.scdn.co/image/ab67616d0000b2737b28588afd2fec398e72b732
1LJEBzs8kmYREDeJKQo8qv,Something on Your Mind - Live at Small's Paradise,https://i.scdn.co/image/ab67616d0000b27374c91d84706e2593184cd466
1danObd53GynoY83wRz3Ua,✨,https://i.scdn.co/image/ab67616d0000b273ec10f247b100da1ce0d80b6d
1hlW4uw2zsbQHWPbuKeMdu,Fell Off (Grinding),https://i.scdn.co/image/ab67616d0000b273360767b7aaf2c69788c105ea
1j5CpRv1YIyPD24iqr91lb,No Expectations,https://i.scdn.co/image/ab67616d0000b273dfbf6a8ec50d42c33f152481
1l9G7M8gNyQsgOGWZGoQsT,Look What I Found,https://i.scdn.co/image/ab67616d0000b273e2d156fdc691f57900134342
1p50TN8eyDm3mJHZVgcTxm,Au Revoir,https://i.scdn.co/image/ab67616d0000b273e80e7dbce3996a1ae5967751
1srUzO2jhb8gxUUuQ7Ppo2,Drugs,https://i.scdn.co/image/ab67616d0000b27301c0273bb730faddd8f86df5
1uFDDIynSAf5C5s5J4vgXK,Jazz Cafe,https://i.scdn.co/image/ab67616d0000b27393a8922ffda65844c34ee2db
21rBVSwu6bc1zwSd6J8Xo4,Be Still,https://i.scdn.co/image/ab67616d0000b27376b28d3383d44759a5859f63
29adaSC9SpTl7a7P7J5KKx,Orphans Of The Storm,https://i.scdn.co/image/ab67616d0000b273bfcfcbc3382a663283113d0f
2Dpe4Wnm8lQ07nk2SfzvEz,Cold,https://i.scdn.co/image/ab67616d0000b273e9180ff6579e75ee3c44d3c5
2NiKqnDaUJHq8l67t4509u,Flesh And Bone,https://i.scdn.co/image/ab67616d0000b273f555f994cd61c8d017f53a27
2kGMBOPXMtb9gxzVYdplg9,Two Fish and an Elephant,https://i.scdn.co/image/ab67616d0000b273bc009dcb7578608697771b74
2phHJ5JgaDSbeGQlnSaTFx,"Das Rheingold, WWV 86A / Scene I: Garstig glatter glitschriger Glimmer! - Remastered 2022",https://i.scdn.co/image/ab67616d0000b2730d9d0fa7d834988f96a97f0b
2tvoIQqGv1vnJAA1fM8cEk,The Bed,https://i.scdn.co/image/ab67616d0000b27329ecf64a783a05d8d36bf1dc
2utvK2CuAEXbUnPpV9ataH,One Way Or Another,https://i.scdn.co/image/ab67616d0000b273ebc918cfb51e9ced7349f436
2wpebYFWzZ06RNYkOZgw6x,I Wanna Dance with Somebody,https://i.scdn.co/image/ab67616d0000b273e9d72c0ed4f593f7c0c95035
30CWW0G4o9bkAWY1cp91OK,Goodnight Ladies,https://i.scdn.co/image/ab67616d0000b273d55149748dca0e5a1f40778e
33uLd0SEoLf4XcCquJEuir,Smile Away - 1993 Digital Remaster,https://i.scdn.co/image/ab67616d0000b273bccd207916db2264e8b57451
37cb7mzkQKksGm0noGDXeh,Trying Your Luck,https://i.scdn.co/image/ab67616d0000b273a388a3f20d1bf2123249cc79
3C1EQ6svPHTu33UblXARAK,No Rest For The Weary,https://i.scdn.co/image/ab67616d0000b2730d748faeacb455785a8fe966
3CrCRCp50sXMJYTGuyiOvV,Soaking It All In,https://i.scdn.co/image/ab67616d0000b273b3a79ba794b17fa8e90f564b
